"name","year","duration","genre","rating","description","director","stars"
"Daniel the Wizard","2004","1h 21min","Comedy Crime Fantasy","1.2","Evil assassins want to kill Daniel Kublbock, the third runner up for the German Idols.","Ulli Lommel","Daniel Küblböck Ulli Lommel Rudolf Waldemar Brem"
"Smolensk","2016","2h","Drama Thriller","1.2","An inspired story of people affected by the 2010 crash of Polish Air Force Flight 101 in Smolensk, Russia. Fiery reporter Nina won't accept the story she's been given and is determined to find the truth.","Antoni Krauze","Beata Fido Maciej Póltorak Aldona Struzik"
"Foodfight!","2012","1h 31min","Animation Action Adventure","1.3","The evil Brand X joins a supermarket that becomes a city after closing time.","Lawrence Kasanoff","Hilary Duff Haylie Duff Charlie Sheen"
"Saving Christmas","2014","1h 19min","Comedy Family","1.3","His annual Christmas party faltering thanks to his cynical brother-in-law, former Growing Pains star Kirk Cameron attempts to save the day by showing him that Jesus Christ remains a crucial component of the over-commercialized holiday..","Darren Doane","Kirk Cameron Darren Doane Bridgette Cameron"
"Superbabies: Baby Geniuses 2","2004","1h 28min","Comedy Family Sci-Fi","1.5","A group of smart-talking toddlers find themselves at the center of a media mogul's experiment to crack the code to baby talk. The toddlers must race against time for the sake of babies everywhere.","Bob Clark","Jon Voight Scott Baio Vanessa Angel"
"Turks in Space","2006","1h 50min","Action Comedy Sci-Fi","1.5","The son of ""The Man Who Saved the World"" is searching for a crew member of his spaceship who has been missing for eight years.","Kartal Tibet","Cüneyt Arkin Mehmet Ali Erbil Deniz Seki"
"The Cost of Deception","2021","2h 5min","Action Crime Drama","1.5","When a young, ambitious market researcher finds out her boss is involved in the leaking of a scandalous Prime Minister speech, she decides to investigate the case to gain a position among the big-shots. Based on actual events.","Keith English","Vivianne Bánovits András Mózes Barna Bokor"
"Birdemic: Shock and Terror","2010","1h 45min","Horror Thriller","1.7","A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. As the death toll rises, two citizens manage to fight back, but will they survive Birdemic?","James Nguyen","Alan Bagh Whitney Moore Tippi Hedren"
"Manos: The Hands of Fate","1966","1h 10min","Horror","1.7","A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.","Harold P. Warren","Tom Neyman John Reynolds Diane Adelson"
"Pledge This!","2006","1h 31min","Comedy","1.7","At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house.","William Heins","Paris Hilton Simon Rex Paula Garcés"
